time_slot_minutes,bus_stop_count,day_encoded
650,30,0
655,78,0
660,46,0
710,91,0
715,232,0
720,137,0
830,13,0
835,32,0
840,19,0
890,75,0
895,191,0
900,113,0
920,118,0
925,304,0
930,180,0
980,49,0
985,129,0
990,76,0
590,41,1
595,107,1
600,74,1
605,29,1
610,17,1
650,93,1
655,237,1
660,151,1
665,29,1
670,17,1
710,410,1
715,1058,1
720,626,1
725,8,1
730,5,1
770,109,1
775,279,1
780,164,1
830,70,1
835,184,1
840,108,1
890,176,1
895,455,1
900,268,1
920,308,1
925,802,1
930,472,1
980,291,1
985,746,1
990,438,1
1070,42,1
1075,108,1
1080,64,1
590,64,2
595,162,2
600,116,2
605,50,2
610,30,2
650,26,2
655,67,2
660,40,2
710,319,2
715,825,2
720,501,2
725,43,2
730,26,2
770,30,2
775,76,2
780,45,2
830,60,2
835,153,2
840,90,2
890,106,2
895,271,2
900,195,2
905,85,2
910,51,2
920,279,2
925,717,2
930,424,2
980,208,2
985,535,2
990,316,2
1070,14,2
1075,36,2
1080,21,2
590,59,3
595,150,3
600,102,3
605,30,3
610,18,3
650,40,3
655,103,3
660,60,3
710,541,3
715,1382,3
720,842,3
725,53,3
730,31,3
770,80,3
775,208,3
780,121,3
830,66,3
835,168,3
840,118,3
845,47,3
850,28,3
890,160,3
895,413,3
900,269,3
905,61,3
910,36,3
920,460,3
925,1184,3
930,698,3
980,367,3
985,937,3
990,555,3
1020,40,3
1025,102,3
1030,60,3
590,15,4
595,39,4
600,23,4
650,77,4
655,198,4
660,117,4
710,463,4
715,1184,4
720,733,4
725,82,4
730,49,4
770,55,4
775,137,4
780,82,4
830,55,4
835,145,4
840,86,4
890,191,4
895,492,4
900,303,4
905,35,4
910,21,4
920,345,4
925,882,4
930,520,4
980,190,4
985,488,4
990,288,4
1070,25,4
1075,63,4
1080,37,4
