time_slot_minutes,bus_stop_count,day_encoded
650,30,0
655,78,0
660,46,0
710,91,0
715,232,0
720,137,0
830,13,0
835,32,0
590,41,1
595,107,1
600,74,1
605,29,1
610,17,1
650,93,1
655,237,1
660,151,1
665,29,1
670,17,1
710,410,1
715,1058,1
720,626,1
725,8,1
730,5,1
770,109,1
775,279,1
780,164,1
830,70,1
835,184,1
590,64,2
595,162,2
600,116,2
605,50,2
610,30,2
650,26,2
655,67,2
660,40,2
710,319,2
715,825,2
720,501,2
725,43,2
730,26,2
770,30,2
775,76,2
780,45,2
830,60,2
835,153,2
590,59,3
595,150,3
600,102,3
605,30,3
610,18,3
650,40,3
655,103,3
660,60,3
710,541,3
715,1382,3
720,842,3
725,53,3
730,31,3
770,80,3
775,208,3
780,121,3
830,66,3
835,168,3
590,15,4
595,39,4
600,23,4
650,77,4
655,198,4
660,117,4
710,463,4
715,1184,4
720,733,4
725,82,4
730,49,4
770,55,4
775,137,4
780,82,4
830,55,4
835,145,4
